Territorial emissions in MtCO₂,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Côte d'Ivoire,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Micronesia (Federated States of),Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Korea,North Macedonia,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of South Sudan,Romania,Russian Federation,Rwanda,Réunion,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
1990,2.0243,5.5206,76.7376,0.4067,5.0899,0.047632,0.24182,112.0791,8.9475,0.48731,278.1603,62.1672,51.1512,2.0225,11.5557,14.0816,1.2753,108.3451,120.2928,0.31144,0.57935,0.50197,0.18573,10.0069,0.064657,19.8862,2.7004,218.658,0.065952,5.4557,76.638,0.58258,0.20885,1.2604,2.6048,458.5031,0.17954,,0.1832,0.37739,32.9081,2484.8548,56.8977,0.065952,1.0079,0.043968,2.913,22.9747,29.6484,4.8239,4.6449,164.2504,4.7815,4.249,53.477,0.29678,0.058624,8.936,16.4578,75.2175,2.4751,0.062288,,36.9196,2.9865,0.70349,,0.80122,56.915,393.4307,,0.46899,4.4847,0.19786,15.9484,1054.7406,3.5138,,83.438,0.62471,0.10626,,4.9722,1.0039,0.17221,1.1285,0.995,2.5047,27.1477,73.3768,2.2228,577.996,155.0808,209.9437,49.057,32.9444,35.8244,438.9043,7.5272,1157.1956,10.4764,268.1731,5.819,0.021984,,37.807,18.9976,0.51296,19.6627,7.8682,1.4729,0.45613,36.5138,0.19897,35.7377,11.8155,1.0332,0.9443,0.74033,54.2694,0.17221,0.42224,2.4274,,,0.85371,1.4619,317.0424,,36.2395,9.7911,1.962,0.029312,22.298,1.0254,4.2357,,0.12458,0.72144,162.6651,1.5764,25.5025,2.0439,0.5988,38.8573,0.007328,118.3789,11.1066,35.003,0.86104,11.2224,67.8274,,2.632,2.1544,2.1356,21.4008,41.3495,376.6413,45.2788,11.4112,0.43389,176.5069,2536.2477,0.52386,,0.007328,0.10626,0.17954,0.0916,0.080608,0.087936,0.047632,208.497,3.1388,57.8275,0.15022,0.4983,43.5356,61.4728,15.0945,0.14656,0.7822,312.9302,250.5108,230.5002,3.8308,4.7689,1.7374,0.95997,57.5099,44.161,37.0453,124.184,11.9651,2.1123,86.5633,,0.97764,0.084272,16.9812,13.4832,151.615,31.7025,0.062288,0.003664,0.76085,706.2269,51.7038,601.9451,5120.9572,3.9673,103.7834,0.065952,121.823,21.2986,0.01832,,9.5202,2.4071,15.5516
1991,1.9143,4.2902,78.8068,0.4067,5.0641,0.047632,0.24915,117.5057,7.3078,0.53128,279.534,65.7657,49.7522,1.9969,11.3912,14.742,1.4182,104.0717,123.3626,0.4067,0.61965,0.53861,0.18574,10.4952,0.051594,14.0694,2.6344,229.394,0.07328,7.2108,61.4563,0.62654,0.23816,1.3044,2.6684,450.1596,0.16488,,0.19053,0.38472,30.8918,2606.0962,56.6541,0.065952,1.0828,0.043968,3.2879,16.9852,27.1702,3.8494,5.1332,148.8833,4.3089,3.2804,64.1046,0.30045,0.058624,9.5383,16.1572,77.2958,3.1547,0.065952,,34.1472,2.9585,0.65586,,0.65503,55.188,417.775,,0.46899,4.5217,0.19786,15.8722,1016.8703,3.9019,,83.4075,0.6099,0.10992,,4.9511,1.0259,0.17587,1.1065,0.97614,2.527,28.4631,69.7019,2.1036,615.365,174.865,221.8339,45.1854,33.6743,36.1485,438.3857,7.751,1168.8973,9.9039,261.0659,4.8343,0.021984,,14.9164,15.6565,0.54594,17.9207,8.1152,1.5279,0.37455,42.6198,0.20633,37.8204,12.4349,1.0919,1.0249,0.78761,65.7851,0.15389,0.42589,2.2718,,,0.86837,1.5206,330.1332,,29.2737,11.9598,1.3881,0.029312,23.6882,0.94146,4.1374,1.0552,0.12458,1.0263,171.1106,1.7586,26.1825,1.9863,0.56622,41.9292,0.007328,112.8191,7.7945,33.458,0.88302,11.5948,67.4771,,3.1045,2.1691,2.1034,20.7579,43.4719,373.6228,47.0971,17.3805,0.40642,142.2082,2406.7557,0.47214,,0.007328,0.10626,0.19053,0.10259,0.084272,0.095264,0.047632,288.5455,3.3792,40.9582,0.17221,0.55693,44.2355,53.2864,13.9734,0.15755,0.70392,326.0267,275.6882,240.2307,4.1382,4.4665,2.0231,0.87203,57.7396,46.1369,42.2008,133.604,9.658,2.2553,95.0448,,1.0498,0.087936,16.9682,16.0055,158.1263,32.4223,0.062288,0.003664,0.77981,632.9241,56.6734,609.4127,5062.9567,4.5277,102.2889,0.065952,115.0522,21.3755,0.01832,,9.1274,2.3818,15.5015
1992,1.4821,2.5171,79.8833,0.4067,5.1644,0.047632,0.24915,121.2306,5.7237,0.53861,284.5288,60.2662,56.1744,1.8686,10.4925,15.3799,1.3618,93.483,122.4885,0.35541,0.67095,0.46166,0.21506,11.0142,0.042507,15.0287,2.7773,233.601,0.080608,6.8847,57.3065,0.63021,0.21618,1.3484,2.7123,464.0128,0.17954,,0.19419,0.4067,32.0006,2730.7876,61.4947,0.069616,1.2892,0.043968,3.7419,16.3692,20.5931,3.1714,5.5057,145.7058,3.8435,2.9068,58.3266,0.30411,0.058624,10.4182,21.9597,79.9399,3.3168,0.065952,,24.421,2.9367,0.64853,,0.73031,54.265,407.7173,,0.44701,4.9169,0.19786,15.2769,969.4742,3.2426,,84.9757,0.59581,0.11725,,5.9192,1.0589,0.17954,1.0406,0.88852,2.8033,32.9186,62.348,2.2502,655.447,199.4187,226.9349,58.8894,33.4953,42.0825,438.771,7.7087,1178.6748,11.9842,236.1311,5.5365,0.025648,,29.6484,11.0417,0.59273,14.1946,9.7269,1.5865,0.39166,37.0244,0.20695,21.1684,12.2025,1.0809,1.0028,0.78709,72.961,0.23083,0.46252,2.2936,0.076944,,0.90501,1.7074,332.7801,0.13557,20.9781,10.9426,1.4833,0.029312,24.7368,1.0272,4.8419,1.1505,0.12091,1.2329,170.9181,1.5755,28.1667,2.3726,0.52461,46.2653,0.007328,97.9816,8.3942,34.394,0.916,11.8927,72.0149,0.19786,4.1123,2.1911,2.5799,20.9858,48.2928,364.5106,50.9201,26.7803,0.3634,132.0112,1966.5048,0.47949,,0.007328,0.10992,0.21251,0.095264,0.084272,0.098928,0.047632,316.1747,3.4227,43.6843,0.17221,0.28213,47.4415,48.8868,13.8826,0.16122,0.66609,301.3254,299.9054,248.6318,5.1063,3.9893,2.0305,0.83173,57.5672,46.0186,42.5617,142.188,7.3081,2.1776,105.5134,,1.0305,0.069616,19.1028,15.275,164.0649,31.9942,0.065952,0.003664,0.79779,589.2828,57.7571,593.8459,5174.2275,5.1429,110.9843,0.065952,105.5768,21.4665,0.01832,,9.8736,2.4247,16.7135
1993,1.4869,2.338,81.944,0.41037,5.7484,0.05496,0.25648,117.7775,2.5102,0.64853,288.8735,60.6921,48.4061,1.7441,16.84,16.0629,1.0969,80.5618,121.4239,0.37739,0.80742,0.53861,0.18179,11.5503,0.065618,12.5806,3.195,244.306,0.084272,6.357,58.364,0.62654,0.22717,1.385,2.8658,464.5542,0.17221,,0.19786,0.40304,34.0978,2921.651,63.3378,0.07328,1.1604,0.047632,3.8909,16.8065,19.8228,4.8957,5.7493,140.124,5.093,2.6623,60.5737,0.30411,0.062288,11.2088,24.0885,92.278,3.9756,0.069616,,19.4387,2.9936,0.58258,,0.72865,56.314,388.398,,0.46899,4.9747,0.20885,9.9157,959.3672,3.8179,,84.285,0.54594,0.12091,,5.5778,1.0882,0.1832,1.0442,0.6842,2.9408,34.7778,63.5584,2.4009,677.2992,215.1087,235.6069,63.1298,33.7164,44.2345,431.1764,8.001,1171.6867,11.7743,208.2168,6.3418,0.029312,,49.1294,8.4682,0.60742,11.9228,10.3549,1.6341,0.4173,38.7083,0.21503,16.3197,12.3519,1.1798,1.0321,0.882,86.7186,0.19786,0.50281,2.8856,0.084272,,0.92699,1.7734,338.0672,0.1429,15.8458,9.193,1.2936,0.029312,26.7789,1.1403,5.303,1.3887,0.11358,1.3973,170.8633,1.8282,27.761,2.2824,0.5985,44.8142,0.007328,89.5816,7.5992,35.938,0.93432,13.2248,77.1757,0.19786,3.7849,2.1911,2.9141,23.8848,48.9288,365.1749,49.434,30.6845,0.25051,122.6938,1866.7291,0.48295,,0.010992,0.11358,0.2345,0.07328,0.10259,0.10259,0.047632,340.6424,3.5387,38.0957,0.1832,0.26381,49.6619,46.3512,14.2462,0.17221,0.62577,320.3453,330.174,240.0461,4.9754,2.7463,2.0378,0.71082,57.5609,43.6058,45.2216,153.808,5.1706,2.426,121.8551,,1.0688,0.084272,17.4112,16.6166,171.1389,27.5164,0.065952,0.003664,0.79746,510.3204,65.5656,579.6125,5272.8508,4.4392,115.6172,0.065952,123.9663,22.853,0.01832,,8.6254,2.466,16.0466
1994,1.4538,1.9238,88.6084,0.4067,11.3532,0.05496,0.26747,118.4694,2.6847,0.65952,293.7009,61.0666,41.9449,1.7697,14.443,17.538,1.1635,67.8794,124.7967,0.37373,0.91153,0.53128,0.21241,9.6383,0.062909,3.205,3.0301,254.002,0.084272,5.553,56.367,0.64486,0.2345,1.4819,4.8798,479.033,0.17587,,0.20885,0.4121,37.9749,3103.7387,67.0374,0.07328,3.3839,0.047632,5.1998,16.0498,21.3823,4.6936,5.9915,132.668,4.133,2.751,64.6733,0.30045,0.069616,11.7964,14.3068,88.3727,4.5127,1.1529,0.74383,20.0451,2.1972,0.57525,,0.72308,61.732,381.5763,,0.47998,4.5417,0.20885,6.0678,943.1848,4.5397,,86.4303,0.49591,0.1429,,6.7512,1.1248,0.1832,1.4583,0.1832,3.231,31.0793,61.889,2.3497,714.0637,219.3717,263.3274,76.4367,34.8384,47.4746,425.4282,8.1886,1226.7022,13.2496,174.9334,6.5533,0.029312,,57.1966,6.1445,0.63426,10.3712,11.1108,1.6744,0.41526,51.3599,0.20111,15.767,11.5429,1.2714,1.1522,0.90175,88.036,0.19786,0.54839,2.6583,0.084272,,0.9563,1.6232,351.8431,0.15389,12.427,7.8648,1.2567,0.032976,28.1238,1.098,6.174,1.5719,0.10992,1.6194,171.6482,1.9712,27.8998,2.518,0.57702,80.4622,0.007328,81.5803,7.9032,37.853,0.9673,17.3844,84.0183,0.19786,4.1773,2.1859,3.4043,24.1766,54.1582,360.2184,50.2067,32.3434,0.34448,120.9047,1647.6646,0.46212,,0.010992,0.12091,0.26014,0.069616,0.12091,0.095264,0.047632,333.643,3.837,37.0401,0.20152,0.2748,60.0859,43.757,14.6361,0.1832,0.61842,338.6976,355.6948,252.3,5.4352,3.8264,2.0423,1.0772,60.0145,42.6663,45.6501,161.174,2.3551,2.0631,136.87,,1.0067,0.0916,15.3494,16.135,167.5656,34.2161,0.069616,0.003664,0.70818,419.4921,75.0105,574.0169,5364.2793,4.0304,109.785,0.065952,119.7653,27.3622,0.01832,,9.9101,2.3933,17.3936
1995,1.4173,2.0891,96.7769,0.42502,12.6167,0.058624,0.27114,125.2398,3.3627,0.70715,305.0556,64.0441,33.3093,1.8393,14.8231,21.0417,1.283,60.9056,125.9363,0.37739,0.95627,0.53128,0.24897,9.0165,0.062254,3.402,3.0448,268.678,0.087936,5.8253,57.909,0.62411,0.23816,1.5555,5.3747,491.8257,0.19786,,0.20885,0.42741,41.5625,3361.6372,59.4207,0.076944,3.2247,0.047632,4.8008,16.8157,22.8351,4.6447,5.8619,131.6222,6.2253,3.0962,61.6534,0.31144,0.080608,15.107,23.4984,98.9945,4.9984,1.2271,0.82279,18.0613,2.506,0.57158,,0.7367,58.116,386.4568,,0.47266,5.2204,0.21618,2.2903,939.8971,4.624,,86.9632,0.53433,0.15022,,7.0786,1.1652,0.1832,1.5682,0.8757,3.8362,31.2671,61.6011,2.4693,760.4616,222.4105,269.2701,79.6951,35.853,49.8655,449.4302,9.1734,1239.0481,13.2081,168.2859,7.5488,0.029312,,56.1277,4.5069,0.6709,9.135,12.2547,1.7074,0.41607,54.5957,0.2042,15.0573,9.1559,1.2311,1.1924,0.9065,110.841,0.24915,0.5952,2.4521,0.087936,,1.0149,1.8283,331.1427,0.17954,11.4054,7.8371,1.3273,0.032976,28.7503,1.131,6.8926,1.6195,0.10626,2.3089,173.2011,2.0631,28.0032,2.7551,0.55814,84.3434,0.007328,76.0822,7.9252,38.458,0.94531,18.7348,83.6144,0.19786,3.653,2.0592,3.9371,25.1431,59.9646,362.6145,54.4684,33.1371,0.35608,125.7119,1619.7271,0.45476,,0.010992,0.12824,0.2748,0.069616,0.12824,0.11358,0.047632,268.1319,3.4301,39.1408,0.19786,0.2235,40.5458,44.1449,15.3542,0.19053,0.58543,361.6936,383.6655,266.0349,5.8143,3.9506,2.0606,1.0626,59.5062,43.4078,46.0825,168.887,2.4453,2.4339,153.65,,1.1747,0.095264,14.7325,16.2717,181.3553,34.5692,0.069616,0.003664,0.92548,390.0721,72.4635,566.159,5425.2597,4.5572,104.8029,0.065952,124.7308,30.0888,0.01832,,11.0625,2.1423,15.0284
1996,1.3701,2.0175,100.0394,0.45434,15.249,0.062288,0.28946,131.1348,2.5003,0.72547,311.9405,67.3886,31.2423,1.8137,16.0186,21.4928,1.339,61.7348,129.4787,0.30778,1.1838,0.52762,0.29827,10.0161,0.058235,4.2395,2.7553,289.311,0.098928,5.8787,58.4601,0.7047,0.24182,1.6313,5.9747,508.1967,0.21618,,0.21251,0.44322,48.2263,3508.8181,59.9127,0.080608,4.0374,0.051296,4.6864,17.3437,23.333,4.3448,6.2119,135.0187,7.526,3.4726,74.8997,0.30778,0.07328,16.4844,25.2999,97.9509,4.4145,1.3555,0.89848,19.0431,2.7942,0.6009,,0.79245,64.033,402.8932,,0.46899,5.8856,0.21984,4.0538,959.6533,4.8585,,89.115,0.5969,0.15389,,6.5711,1.2348,0.20518,1.6525,1.0186,3.8755,28.9085,63.1581,2.5237,823.6206,253.065,274.9262,74.7099,37.4693,51.9358,443.6567,9.6876,1251.5457,13.8254,154.505,9.2925,0.029312,,51.6269,5.6519,0.74989,9.2127,12.7528,1.7367,0.42746,53.9519,0.20596,15.74,9.2074,1.407,1.2453,0.91953,110.6328,0.28946,0.64608,2.5339,0.087936,,1.0626,1.9492,341.7647,0.1832,11.6871,7.9354,1.553,0.03664,29.5245,1.0918,7.188,1.7221,0.10259,2.3528,182.2965,2.1839,29.3042,2.8472,0.63878,97.8897,0.007328,66.2915,9.4166,41.524,1.0369,18.1082,93.539,0.19786,4.4468,2.1901,3.7188,24.7171,61.265,377.2854,51.7615,34.4237,0.36737,129.1472,1586.8221,0.46404,,0.010992,0.1319,0.29312,0.069616,0.1319,0.12458,0.047632,263.3258,3.6641,45.8247,0.2345,0.23083,48.0129,44.0261,15.9994,0.19786,0.57525,363.7323,420.9961,253.4979,6.9706,4.0837,2.0825,0.78776,63.3811,44.0991,47.1277,176.794,2.8238,2.5267,173.5658,,1.2652,0.076944,18.4583,16.6192,199.6467,31.6542,0.069616,0.003664,1.0181,351.7697,75.4122,586.7607,5612.9828,5.4052,108.1842,0.084272,118.2533,35.4815,0.021984,,11.3026,1.838,14.9089
1997,1.3042,1.543,88.3694,0.46533,15.8842,0.062288,0.31144,136.5237,3.2528,0.75845,320.3328,67.2851,29.8429,1.6085,17.2889,23.1259,1.5404,61.5884,123.9906,0.38838,1.224,0.52395,0.39011,11.7212,0.060943,8.3658,2.7993,306.949,0.10259,6.0872,55.8091,0.80401,0.24915,1.5519,5.3788,522.5773,0.22717,,0.21618,0.4531,55.942,3515.5942,65.2562,0.084272,4.8306,0.051296,4.9162,18.5565,24.809,4.5469,6.2983,130.9416,7.2112,3.0894,65.4378,0.33342,0.080608,17.2657,19.4289,111.7049,5.4157,1.9748,0.80847,18.6829,2.9802,0.5899,,0.76428,62.696,395.5119,,0.49098,5.5269,0.2235,4.4263,931.4869,5.5143,,93.8016,0.61786,0.16854,,7.5019,1.2897,0.20152,1.8064,1.3484,4.0103,30.497,61.7117,2.6194,858.0112,279.9415,267.3571,76.1739,38.805,54.8657,449.4309,10.0682,1244.251,14.0741,146.4254,8.2101,0.029312,,56.6209,5.5607,0.79241,8.6809,15.0987,1.7697,0.44619,51.779,0.21838,15.1628,8.5639,1.4876,1.5352,0.91486,119.6288,0.32976,0.72667,2.5562,0.087936,,1.0772,1.9969,362.68,0.19419,7.3013,7.6151,1.6698,0.032976,29.9776,1.1702,7.4196,1.7697,0.10259,2.6411,175.2853,1.8175,31.2783,3.1145,0.64428,95.7815,0.007328,63.6787,8.4455,41.625,0.8647,18.0535,93.7882,0.19786,4.6301,2.6148,4.128,27.7472,70.0694,367.2357,54.6271,42.1824,0.44975,118.1564,1482.2445,0.48253,,0.010992,0.1429,0.29678,0.047632,0.1319,0.12458,0.047632,221.67,3.1824,49.2646,0.2748,0.20518,56.737,44.0982,16.507,0.20518,0.53494,385.2227,444.9676,265.8322,7.5203,5.0076,2.1045,1.1432,58.3831,43.0352,49.2567,190.557,2.1501,2.8244,181.2027,,0.87899,0.098928,18.9112,17.2185,212.1082,31.1961,0.084272,0.003664,1.0619,340.5144,72.9195,562.7081,5688.1425,5.5137,109.0278,0.087936,129.667,45.5021,0.021984,,12.1714,2.3541,13.912
1998,1.2785,1.7547,106.5366,0.49098,16.5133,0.065952,0.32243,139.005,3.4191,0.80608,334.1355,66.92,31.7849,1.9896,18.3664,23.1978,1.5721,60.0734,130.2235,0.37006,1.1139,0.52029,0.3822,11.2523,0.0033639,10.5506,3.3416,317.359,0.10259,5.5953,53.1151,0.85894,0.24915,1.9627,5.3732,530.2763,0.24182,,0.21984,0.46384,57.2585,3364.5876,65.7988,0.0916,3.8693,0.047632,5.2341,19.0112,24.294,0.25098,6.5925,125.6088,6.7555,2.7333,61.2383,0.38472,0.076944,17.7882,23.0905,125.0257,5.7312,2.3023,0.58617,16.9407,3.1474,0.62288,,0.7433,59.352,413.9645,,0.48731,6.4529,0.24182,4.9392,923.467,5.5839,,98.6218,0.5972,0.17587,,8.6394,1.363,0.17221,1.8283,1.2348,4.8106,38.925,61.3129,2.6387,875.7723,244.523,303.5142,80.8372,40.709,56.0098,461.6467,9.694,1204.4025,14.2531,144.2827,9.9596,0.029312,,52.8118,5.901,0.82007,8.307,16.2865,1.8027,0.47305,51.6526,0.22924,15.9971,7.6633,1.5572,1.6191,0.90175,109.7817,0.30045,0.93432,2.5249,0.0916,,1.0699,2.1691,381.3076,0.20152,6.4438,7.6215,1.7576,0.029312,30.8812,1.1119,8.0462,1.8173,0.098928,2.2233,176.2376,1.81,29.8582,3.3927,0.69617,86.4926,0.007328,58.7493,9.6473,41.818,1.4619,18.4453,96.7407,0.19786,5.9007,3.5325,4.3839,28.0622,68.2636,339.0764,59.1686,36.8877,0.38995,104.8605,1465.2535,0.48152,,0.010992,0.15022,0.3261,0.05496,0.16122,0.1429,0.047632,213.1569,3.3336,51.8821,0.28946,0.21984,47.4122,43.8273,16.039,0.21618,0.50563,377.2625,378.0378,274.6049,7.7359,4.3594,2.1045,1.1615,58.8018,44.6137,53.1584,200.172,2.4967,2.4809,159.704,0.060535,1.29,0.087936,19.9052,17.7877,212.135,33.4455,0.087936,0.010992,1.2088,328.8076,80.1063,568.5437,5733.2806,5.6388,120.9748,0.084272,170.3671,47.8664,0.021984,,12.8429,2.2785,14.1311
1999,1.0916,2.9862,91.4491,0.51296,17.2613,0.065952,0.34442,147.6736,3.0402,0.80974,343.9592,65.6713,28.8216,2.0335,18.3148,25.075,1.6534,57.9655,124.6811,0.34808,1.4619,0.51296,0.38587,10.9395,0.025207,10.3333,3.1584,327.256,0.11358,5.9781,46.3185,0.91561,0.25282,1.8943,5.2194,544.4821,0.28946,,0.23083,0.47725,61.408,3557.2746,55.4758,0.095264,3.9156,0.051296,5.4378,20.0224,24.4671,1.8807,6.8587,116.6719,6.0919,2.1994,58.6528,0.38472,0.080608,17.8213,21.9762,128.2211,5.5879,2.5113,0.61545,15.938,3.0943,0.63021,,0.75647,58.866,412.3696,,0.53861,6.014,0.2748,4.311,895.4021,5.6132,,97.9348,0.59489,0.19419,,8.8058,1.4326,0.19419,1.832,1.2714,4.7046,42.549,61.8062,2.8414,950.4598,292.0009,371.9739,82.0428,42.4402,54.756,466.3934,9.9582,1241.0365,14.2667,119.2653,10.0706,0.029312,,54.978,4.6424,0.84584,7.7188,16.4297,1.8247,0.37614,50.2599,0.22657,13.4496,8.1176,1.5169,1.7627,0.89326,103.9865,0.42136,0.97096,2.5729,0.087936,,1.0955,2.4256,386.2703,0.19053,4.6845,7.4876,1.2119,0.03664,31.9857,1.1683,8.9336,1.6635,0.0916,3.1911,170.8543,2.0555,31.4652,3.5972,0.68156,84.9922,0.007328,64.1399,8.7827,42.591,1.3667,21.9852,99.3893,0.19786,5.6222,2.5522,4.3759,29.5624,68.1879,329.2662,66.8375,36.2481,0.4229,89.01,1494.1788,0.50262,,0.010992,0.16122,0.33709,0.05496,0.16488,0.13557,0.047632,231.4825,3.6036,35.7907,0.30411,0.17587,49.2002,43.0381,15.4125,0.21618,0.48731,374.891,410.5188,298.0747,8.5166,4.7393,2.1228,1.2384,55.9816,44.437,55.1507,207.808,2.5172,2.4588,167.2347,0.15297,1.8504,0.10992,22.5944,18.6398,207.9279,39.7969,0.098928,0.010992,1.2547,298.5789,77.3162,561.6496,5803.9178,6.6822,123.5866,0.087936,143.0497,48.5483,0.025648,,14.6877,1.7776,15.7278
2000,1.0471,3.0249,85.3986,0.52395,15.9951,0.076944,0.35541,142.7652,3.4914,2.3779,350.0077,66.1717,29.7653,2.0262,19.2338,26.5246,1.7488,54.906,126.7215,0.39571,1.4729,0.51662,0.39687,8.4339,0.066885,13.7022,3.7776,340.183,0.11725,5.3287,45.4135,1.0297,0.27114,1.9749,5.5886,567.0961,0.29678,,0.2345,0.48751,58.5026,3649.2009,56.5914,0.10259,4.2843,0.051296,5.3939,19.66,25.7755,4.9902,7.1046,127.236,6.6336,1.7047,54.3066,0.3664,0.10259,18.9916,20.9273,143.836,5.671,2.6993,0.60443,15.4817,3.4629,0.68883,,0.81485,57.01,406.5075,,0.61189,6.1282,0.2748,4.5004,898.938,5.3128,,102.9732,0.66777,0.19053,,9.7648,1.4912,0.14656,1.7477,1.6341,5.0315,40.2828,58.506,2.9332,977.5264,281.3304,364.3024,83.2655,45.2491,59.5194,470.5241,10.314,1263.7548,15.2002,143.3802,10.4088,0.03664,,54.8896,4.5753,0.9604,7.0826,15.4663,1.8503,0.39877,53.2385,0.21686,11.843,8.7036,1.6305,1.9479,0.85765,122.8781,0.45067,1.0662,2.4682,0.098928,,1.1139,2.6894,391.725,0.17954,3.573,7.4319,1.5208,0.025648,33.199,1.3219,10.2194,1.6048,0.084272,3.0374,172.0163,2.2205,32.2455,3.7213,0.68697,96.8467,0.007328,69.1649,8.4676,42.11,1.6598,23.8902,103.9395,0.20885,5.7284,2.9379,3.6061,28.6775,72.3568,317.4522,65.6114,40.3145,0.45982,93.334,1479.1425,0.51513,,0.010992,0.17221,0.34808,0.05496,0.14656,0.1429,0.047632,302.3282,3.9021,44.9502,0.3151,0.27114,48.3941,41.1388,15.0538,0.2235,0.47632,378.3069,439.9807,310.0712,10.1341,5.2763,2.1923,1.2091,54.9301,43.6142,54.1711,226.9,2.2339,2.5718,167.3521,0.21986,1.3314,0.095264,24.3663,19.5546,229.9367,39.3615,0.10992,0.007328,1.3609,285.6742,111.8131,569.0337,6010.1359,5.268,123.4773,0.087936,142.8349,53.9355,0.025648,,15.7253,1.7841,13.8182
2001,1.0691,3.2207,86.8393,0.52395,15.9085,0.084272,0.37006,134.4223,3.5327,2.4072,357.7834,70.1713,28.4155,1.9456,15.3749,31.0349,1.6519,54.003,126.0661,0.44701,1.6891,0.52762,0.38423,8.7428,0.068108,13.2628,3.8472,346.166,0.12458,5.1896,48.9219,0.99109,0.20518,2.2497,5.5624,559.147,0.34808,,0.24549,0.50559,52.9184,3728.5135,56.8482,0.10626,4.1778,0.047632,5.6666,20.7823,25.2159,5.0814,6.9785,127.1444,7.6497,1.6475,55.8967,0.3664,0.10992,19.1446,23.4078,127.6565,5.8574,3.0947,0.62635,15.8821,4.2646,0.76211,,1.0421,62.514,411.0165,,0.72547,6.48,0.30045,3.725,915.2422,5.9687,,105.3619,0.61837,0.19419,,10.2333,1.5609,0.15022,1.7441,1.4713,5.6649,37.8017,60.109,2.8654,990.9695,317.0272,386.1582,96.3323,47.6076,63.0236,470.5774,10.5764,1249.1621,15.6095,138.7685,9.2779,0.03664,,59.0507,3.8567,1.0627,7.4974,16.4066,1.876,0.41742,53.1136,0.21467,12.5937,9.2055,1.6854,1.743,0.77325,130.89,0.46166,1.1615,2.7366,0.10259,,1.1725,2.8616,407.7306,0.16488,3.7866,7.804,1.6673,0.025648,36.8057,1.554,8.8557,2.0115,0.080608,3.2361,177.1462,1.8766,34.3785,3.9217,0.64604,100.1922,0.007328,71.6645,8.288,43.498,1.3484,22.4045,105.4007,0.21618,6.9531,3.336,3.6955,25.4158,70.326,313.5006,65.1525,45.8173,0.52908,98.9879,1515.6471,0.52238,,0.010992,0.17587,0.35907,0.05496,0.17954,0.15389,0.051296,302.7028,4.2581,49.3079,0.34442,0.37006,49.2002,43.2242,16.3028,0.2345,0.4983,371.624,455.6306,311.8085,10.3264,5.9999,2.3628,1.0955,55.8376,45.0809,50.951,229.777,2.2876,3.0408,172.2668,0.11884,1.1589,0.087936,26.7564,20.4296,213.5812,34.0342,0.11358,0.010992,1.4171,303.8913,101.418,577.9706,5907.7399,5.0304,126.2212,0.0916,130.5339,60.9838,0.025648,,17.0773,1.8856,12.5087
